year,figure_type,amount_ghs,amount_usd,as_of_date,source_url,date_accessed,verification_status,data_provenance,notes
2025,budget_approved,13850000000,,2025-09-13,https://mofep.gov.gh/news-and-events/2025-09-13/government-to-invest-gh13.9-billion-big%20push-infrastructure-drive-deputy-finance-minister,2026-08-02,budget_approved,search_synthesis,"Reported by Deputy Finance Minister as GHS13.9bn - close to but not identical to the 13.85bn figure elsewhere; both logged, not reconciled to one number."
2025,budget_approved,13900000000,,2025-09-13,https://mofep.gov.gh/news-and-events/2025-09-13/government-to-invest-gh13.9-billion-big%20push-infrastructure-drive-deputy-finance-minister,2026-08-02,budget_approved,search_synthesis,See note on prior row - two figures (13.85bn / 13.9bn) both appear for the same 2025 allocation across sources.
2026,budget_approved,30800000000,,2025-11,https://www.modernghana.com/news/1447790/2026-budget-ghc308bn-allocated-for-big-push-agen.html,2026-08-02,budget_approved,search_synthesis,"2026 budget figure per ModernGhana coverage of the budget statement."
2026,budget_approved,30500000000,,2025-11,https://gna.org.gh/2025/11/gh%C2%A230-billion-earmarked-for-big-push-infrastructure-roads-ministry-gets-gh%C2%A24-3-billion/,2026-08-02,budget_approved,search_synthesis,"Alternate 2026 figure (GHS30bn / GHS30.5bn) per Ghana News Agency - Roads Ministry specifically allocated GHS4.3bn of this."
2026,announced_component,4300000000,,2025-11,https://gna.org.gh/2025/11/gh%C2%A230-billion-earmarked-for-big-push-infrastructure-roads-ministry-gets-gh%C2%A24-3-billion/,2026-08-02,budget_approved,search_synthesis,"Roads Ministry-specific share of the 2026 Big Push allocation, per GNA."
program_total,officially_announced,,10000000000,2025-09,https://www.gbcghanaonline.com/general/promise-delivered-10bn-big-push-roads-project-begins/2025/,2026-08-02,officially_announced,search_synthesis,"Headline USD10bn total programme figure at launch (Sep 2025) - a multi-year target, not an annual or single-year spend figure. Do not sum with the annual budget rows above without accounting for this being the same money being referenced at a different level of aggregation."
program_total,political_claim,,,2026-04,https://citinewsroom.com/2026/04/ghie-petitions-auditor-general-over-gh%C2%A2110bn-big-push-road-projects/,2026-08-02,political_claim,search_synthesis,"GhIE's petition to the Auditor-General cites GHS110bn as the total programme scale, with ~GHS85bn 'already committed to ongoing projects' - the largest total figure found in this project. Source is GhIE's own petition framing, not a government-published figure - tagged political_claim (civil-society claim) pending primary-document retrieval. See sources.md discrepancy #2."
awarded_contracts,officially_announced,,5000000000,2026-07,https://www.myjoyonline.com/government-begins-87-road-projects-under-big-push-programme/,2026-08-02,officially_announced,search_synthesis,"Government claim: contracts worth USD5bn awarded under the initiative, funded through domestic resources 'without contracting external debt' - see discrepancy #3 re: the separate confirmed USD500m World Bank IDA credit (GMACP) under discussion in the same period."
gmacp_total,independently_verified,,523000000,2026-05-28,https://www.worldbank.org/en/news/press-release/2026/05/28/world-bank-approves-500-million-to-improve-rural-roads-and-market-access-in-ghana,2026-08-02,independently_verified,search_synthesis,"USD500m IDA credit + USD23m GoG counterpart funding = USD523m total, for the Ghana Market Access and Connectivity Project (feeder roads). Not confirmed as formally part of Big Push - see discrepancy #3."
accra_kumasi_expressway,officially_announced,,4000000000,2026-07,https://www.ecofinagency.com/news-infrastructures/2807-57782-ghana-advances-plans-for-176-km-accra-kumasi-highway,2026-08-02,officially_announced,search_synthesis,"Estimated total cost of the single Accra-Kumasi Expressway project alone - USD4bn, of which USD1.7bn secured as of Jul 2026. This one project alone is a meaningful fraction of the whole programme's headline USD10bn figure, worth noting for context in the report."
inherited_stalled_projects,budget_approved,14800000000,,2026,https://www.newsghana.com.gh/stalled-road-projects-resume-as-debt-restructuring-nears-completion/,2026-08-02,officially_announced,search_synthesis,"~23 previously abandoned projects, valued at GHS14.8bn, absorbed into Big Push after debt restructuring freed fiscal space. These may or may not be counted inside the annual budget-approved figures above - not reconciled."
